user_id,post_id,interaction_score,hashtags
229,26,2.0,#food
286,755,0.0,#career #startup #art
66,31,0.0,#education
55,575,0.0,#career #art #food
920,604,0.0,#travel
866,349,0.0,#python
210,95,0.0,#music #cooking
89,748,1.0,#guitar
162,566,0.0,#music #photography #startup
94,678,0.0,#startup #food
207,390,0.0,#music #travel #science
728,215,1.0,#startup #travel #food
335,474,0.0,#career #food #python
115,235,2.0,#guitar #cooking
136,217,3.0,#python #photography #gaming
811,659,1.0,#health #food
1150,552,0.0,#art #guitar #music
450,142,1.0,#ml
225,157,1.0,#art #startup #guitar
782,611,3.0,#cooking #career #ai
235,699,2.0,#python #fitness
602,446,0.0,#cooking
1026,781,0.0,#coding
1040,624,0.0,#travel #career
1087,1,1.0,#ai #fitness
744,315,0.0,#science
162,88,2.0,#career
258,132,1.0,#travel #cooking #education
867,217,3.0,#photography #coding #guitar
765,449,2.0,#fitness #food
461,66,0.0,#career #food #science
15,73,2.0,#food
139,33,2.0,#education
488,286,1.0,#career
271,741,3.0,#science #gaming #food
969,417,0.0,#art
726,434,1.0,#ml #fitness #science
825,746,0.0,#food
393,195,1.0,#art
376,286,1.0,#design
1128,101,0.0,#ai #startup #food
341,417,1.0,#guitar
121,169,0.0,#cooking #design
585,434,1.0,#career #gaming #health
389,304,0.0,#science
1111,63,2.0,#ml
1197,489,1.0,#travel #ml #education
165,191,0.0,#food
827,123,3.0,#food #ml #startup
859,674,1.0,#python #cooking #photography
644,245,0.0,#coding
937,324,3.0,#ai
939,637,3.0,#startup
1102,219,1.0,#music
141,251,0.0,#design
1113,721,0.0,#education #ai #coding
213,138,0.0,#career
319,279,0.0,#python
417,704,1.0,#education #gaming
515,53,0.0,#cooking #ml
8,342,2.0,#cooking #travel #design
1130,723,1.0,#fitness
155,708,3.0,#ml #music #health
881,131,0.0,#ml #music
431,699,0.0,#music
1147,417,3.0,#health #food #travel
363,423,0.0,#python #art #food
547,164,2.0,#guitar
80,482,0.0,#music #coding
467,229,0.0,#guitar
673,286,2.0,#music #education
819,696,3.0,#python #ai #fitness
535,183,1.0,#ml #fitness
890,354,2.0,#art #education
237,395,2.0,#cooking
91,726,1.0,#career #photography #music
884,72,3.0,#python #fitness
616,520,0.0,#python #guitar
606,568,0.0,#guitar #travel
1166,309,1.0,#coding
588,216,1.0,#python #design #career
906,692,0.0,#travel #startup
582,528,1.0,#python #startup #food
636,231,2.0,#ai
95,251,3.0,#startup #design #art
1179,200,2.0,#gaming #guitar
500,152,1.0,#fitness
871,225,0.0,#education #design #ml
1142,256,3.0,#design
274,476,1.0,#python #design #education
874,562,1.0,#gaming
922,266,2.0,#cooking #education #gaming
490,282,1.0,#coding #food #cooking
688,328,2.0,#health
309,237,0.0,#photography
132,425,1.0,#design #art #ml
424,431,0.0,#ai #guitar #gaming
13,361,0.0,#art #career
1119,618,2.0,#food #cooking
893,498,0.0,#guitar #travel
958,131,3.0,#ai #guitar #science
172,659,1.0,#travel #ml
533,389,0.0,#python #science
777,285,2.0,#cooking #startup
964,20,2.0,#music
460,666,0.0,#ml #ai #food
409,21,1.0,#health
970,686,0.0,#design
525,786,0.0,#fitness #travel #coding
222,593,0.0,#science #guitar
813,733,0.0,#food #fitness #coding
248,580,2.0,#career #art
759,71,1.0,#ai #art
1004,109,1.0,#design #health
892,181,2.0,#cooking #career #gaming
953,447,2.0,#cooking #python #food
178,286,2.0,#design
1168,625,1.0,#ai #gaming
666,187,1.0,#cooking #python
573,611,2.0,#career #ai
1059,196,0.0,#art #gaming #food
976,662,2.0,#ai #startup
603,227,1.0,#coding
1192,378,1.0,#music #art #python
721,720,1.0,#cooking #food
248,739,0.0,#career
380,197,0.0,#cooking #education
580,103,2.0,#food #music
368,310,0.0,#health #cooking #ml
112,567,0.0,#gaming
211,13,1.0,#gaming #design
698,189,3.0,#gaming #fitness
134,411,1.0,#ml #health #career
1153,312,0.0,#fitness
1143,783,1.0,#food #education #guitar
923,454,0.0,#art #coding #ml
204,782,0.0,#cooking
167,161,0.0,#startup #travel #ai
837,462,1.0,#coding #ml
475,296,2.0,#design #startup #food
542,641,1.0,#art
236,558,0.0,#cooking
292,74,0.0,#science #coding
900,128,1.0,#guitar #cooking
1025,553,1.0,#ml
885,753,0.0,#ai #startup
469,691,2.0,#science #ai #cooking
1181,42,2.0,#gaming
1063,668,1.0,#travel #art
1008,94,1.0,#python #science
215,165,0.0,#gaming #coding #guitar
1127,38,1.0,#cooking #python
238,792,1.0,#ai #career #design
847,56,0.0,#gaming #design
106,209,0.0,#coding
898,716,1.0,#food
325,319,1.0,#art #startup #food
233,473,3.0,#health #gaming #coding
1043,723,0.0,#gaming #food
936,565,0.0,#education
280,72,0.0,#python #education
548,3,0.0,#science #gaming
305,458,1.0,#python #career
1113,387,1.0,#photography #food
1172,393,0.0,#ml #python
969,723,3.0,#guitar #health
1015,38,0.0,#python #fitness #design
205,539,3.0,#health
840,671,3.0,#gaming
543,347,1.0,#startup #python
1093,390,3.0,#gaming #career #ml
141,241,1.0,#food #startup
889,101,2.0,#fitness #design #travel
614,30,0.0,#coding
735,384,1.0,#education
844,580,1.0,#travel
359,81,1.0,#food #gaming
1195,147,0.0,#cooking #design #science
20,477,3.0,#career #travel #startup
905,354,3.0,#art #cooking
936,310,0.0,#gaming #fitness
486,391,1.0,#coding #science #ai
811,282,0.0,#ml #gaming #coding
472,622,2.0,#photography
514,695,2.0,#health #fitness #ml
633,452,0.0,#health #startup
605,335,2.0,#photography
271,553,2.0,#education #science
559,169,0.0,#coding #python
236,480,3.0,#food
814,571,0.0,#ai #cooking
1099,127,1.0,#cooking #guitar #music
222,692,0.0,#career
672,625,0.0,#design
619,665,1.0,#ml
77,312,3.0,#fitness
481,551,0.0,#music #career
859,602,2.0,#art
203,502,1.0,#ml #music
445,455,1.0,#music
204,703,0.0,#music #ml #guitar
566,195,3.0,#startup #photography
44,52,2.0,#health
1157,211,0.0,#photography #science #food
673,793,0.0,#ai #cooking #health
267,554,0.0,#fitness
53,135,0.0,#science
664,17,0.0,#health
863,539,0.0,#gaming
919,797,0.0,#fitness #design #education
454,630,0.0,#education #coding #design
64,63,3.0,#art #fitness
1005,730,3.0,#startup
660,623,0.0,#cooking
1199,562,2.0,#education #coding
930,518,1.0,#fitness
1130,739,2.0,#design #food
848,348,2.0,#art #fitness
641,438,0.0,#music #health
972,69,0.0,#startup
885,99,2.0,#health #career
123,601,3.0,#python #fitness #art
725,682,3.0,#ml #coding
640,361,0.0,#photography #health #gaming
460,111,0.0,#music #fitness #cooking
1176,232,2.0,#career #ai #cooking
60,185,0.0,#python #music
13,186,2.0,#guitar #startup #health
63,94,2.0,#guitar
860,465,0.0,#coding #python
1163,611,0.0,#health
323,773,1.0,#startup #cooking #design
869,498,1.0,#cooking #photography
1050,117,0.0,#coding
997,540,1.0,#food
810,614,0.0,#coding
433,786,0.0,#coding #python
246,8,1.0,#travel #health
779,546,2.0,#career #music #startup
814,760,0.0,#design
160,321,1.0,#guitar #art #coding
236,415,0.0,#travel #design
742,91,1.0,#food
893,604,1.0,#guitar
636,764,0.0,#travel #startup
1046,649,0.0,#photography #music #career
303,242,0.0,#photography #travel
314,779,2.0,#travel
1012,476,2.0,#design #python #career
310,451,0.0,#coding #cooking
116,361,1.0,#design #science
78,59,0.0,#startup #science
1039,394,1.0,#ml #design #photography
659,620,1.0,#ml
923,106,2.0,#startup #education
354,41,0.0,#design #education
1071,625,0.0,#coding #guitar
838,794,0.0,#ml #python #startup
676,97,1.0,#coding #cooking
308,342,0.0,#health #music #coding
803,133,1.0,#coding
1145,386,1.0,#health #education
192,662,1.0,#music #ai #science
633,185,3.0,#gaming #photography
464,141,0.0,#fitness #education
1106,757,2.0,#python
269,612,0.0,#travel
340,739,1.0,#music #food
910,626,0.0,#design #food #career
634,481,3.0,#music
1169,452,1.0,#guitar #education
1081,429,3.0,#health
513,54,1.0,#career #fitness
1057,128,0.0,#cooking
921,526,0.0,#startup #food
924,358,3.0,#ml #guitar
1029,383,0.0,#music
460,29,0.0,#python
300,141,0.0,#health #gaming
919,631,0.0,#ai
525,221,2.0,#education #art #fitness
591,244,0.0,#food
860,655,2.0,#startup #fitness
1024,612,1.0,#education #food #health
597,440,0.0,#food #art
384,681,1.0,#music #startup #education
1115,520,2.0,#career #ai #guitar
963,45,1.0,#cooking #ai
732,70,0.0,#fitness #python #health
91,361,1.0,#travel #design #gaming
374,139,0.0,#ml #coding
413,45,2.0,#python
636,528,0.0,#gaming #cooking #ml
392,293,0.0,#python
560,128,2.0,#guitar #design
792,348,3.0,#gaming #music
1064,274,2.0,#art #startup #science
370,559,0.0,#startup
672,677,0.0,#art #travel
910,360,1.0,#music #art #cooking
118,77,1.0,#music #education
328,32,0.0,#design #ml #health
138,242,2.0,#music #guitar
1162,34,1.0,#design #music #career
910,782,0.0,#education
752,408,0.0,#food #fitness
54,754,0.0,#guitar #career #fitness
537,794,0.0,#photography #coding
1006,205,0.0,#design
354,731,1.0,#python
712,727,0.0,#coding #science #travel
357,371,1.0,#photography
285,243,2.0,#music
1135,587,0.0,#health #startup #career
634,408,3.0,#gaming #education #art
839,589,0.0,#startup #design
955,697,1.0,#career
373,787,3.0,#education #ml
255,531,0.0,#travel
661,727,0.0,#coding #startup #cooking
403,651,3.0,#health #coding
1093,96,1.0,#science
1190,158,0.0,#python #ml #ai
167,47,3.0,#cooking #photography #art
63,510,2.0,#coding #science #gaming
502,702,1.0,#startup #ml
324,451,1.0,#photography #python
295,321,2.0,#music #guitar
268,779,0.0,#fitness #python #food
956,126,0.0,#health
199,52,0.0,#art #food
328,336,3.0,#python #photography #travel
1021,528,1.0,#gaming #ai
185,403,1.0,#photography
1195,362,0.0,#gaming #science
586,550,0.0,#art
275,271,2.0,#music #ml
821,53,1.0,#music
1134,296,0.0,#design #career #cooking
244,132,3.0,#music #python
1143,375,2.0,#education
823,513,0.0,#health
683,486,1.0,#education
287,336,3.0,#travel #guitar
613,608,0.0,#career #gaming #coding
973,18,0.0,#fitness #art #coding
55,612,1.0,#science #food #ml
1196,492,0.0,#guitar #health #food
65,587,3.0,#photography
39,452,0.0,#art
418,421,1.0,#gaming #ml #health
1063,213,1.0,#gaming #education #guitar
643,178,1.0,#python #career #music
542,625,1.0,#cooking
1143,306,0.0,#coding #photography
1002,325,1.0,#cooking #coding #fitness
1175,693,1.0,#music #health
595,44,0.0,#startup #music #design
526,766,1.0,#career
556,576,1.0,#fitness
491,249,0.0,#food #science #ml
206,424,0.0,#fitness #health
11,564,3.0,#art
975,489,1.0,#python #coding
122,788,0.0,#food #career #ml
359,428,2.0,#ml
814,508,0.0,#coding #ml #ai
612,582,1.0,#coding #design
1113,537,1.0,#education
959,280,0.0,#python
333,749,1.0,#travel #ai
691,303,1.0,#travel
831,438,1.0,#guitar
196,190,3.0,#python #food
14,268,0.0,#cooking #python
619,597,2.0,#cooking
737,710,0.0,#fitness #design #coding
328,416,1.0,#coding #fitness #science
753,630,0.0,#gaming
314,466,2.0,#music #art #gaming
1101,681,2.0,#startup
1077,458,1.0,#startup #fitness
127,561,3.0,#science
1100,154,0.0,#design #fitness #photography
1195,501,0.0,#design #ml #science
271,526,1.0,#ml #career #design
632,741,0.0,#ai #photography
1185,75,0.0,#startup #career
124,71,3.0,#ml #coding
838,185,2.0,#art #music #guitar
919,387,0.0,#career #health #music
243,183,3.0,#education #health
457,4,2.0,#design #career
869,545,0.0,#food
944,355,0.0,#fitness
66,677,1.0,#food
423,69,0.0,#design
100,251,2.0,#design #food
1106,223,2.0,#health
1032,297,0.0,#science #python #career
486,310,2.0,#education #food #art
616,282,0.0,#travel #art #gaming
97,353,3.0,#guitar #education #python
853,419,0.0,#travel #career
970,247,2.0,#health #design
119,576,1.0,#career #education
275,398,0.0,#python
162,461,2.0,#career
391,53,0.0,#ml #startup #photography
1145,223,1.0,#coding #ai
434,195,3.0,#gaming
497,713,1.0,#guitar
491,566,0.0,#guitar #design
1093,665,0.0,#music #education
1019,478,0.0,#gaming #python #photography
760,321,1.0,#food #health #ai
535,567,3.0,#art #coding #health
402,338,0.0,#food #gaming #python
528,782,2.0,#gaming #design #travel
722,174,0.0,#gaming #travel #ml
1074,35,2.0,#ml
14,423,0.0,#food #startup #health
19,224,1.0,#ml #gaming
1000,17,0.0,#art #ai #career
1085,740,0.0,#ai #education
882,184,0.0,#education
305,247,0.0,#cooking #music #science
813,81,0.0,#design #food
463,308,1.0,#ml
192,416,0.0,#gaming #ml #ai
351,85,1.0,#python #fitness
1082,44,0.0,#science #gaming #cooking
96,77,1.0,#career #ml
368,323,0.0,#science
296,771,2.0,#startup #coding
